Epoch,TrainLoss,TrainAcc,ValLoss,ValAcc
1,0.12298068001241541,94.99474237644584,0.03394233179650731,98.73843566021867
2,0.028842650835581525,99.02208201892745,0.015846946797019562,99.53742640874684
3,0.02065086302424112,99.43217665615143,0.020216855907508605,99.32716568544996
4,0.012621431468327879,99.5583596214511,0.015330087529030088,99.36921783010933
5,0.011674147519285078,99.5688748685594,0.004374438245525024,99.78973927670312
6,0.01671529773302762,99.48475289169295,0.031531980589255014,98.78048780487805
7,0.025003742205848688,99.30599369085174,0.006518836287329545,99.87384356602186
8,0.004225360917703529,99.92639327024185,0.0016528287784535352,99.91589571068124
9,0.009661550763964464,99.72660357518401,0.006647131038184994,99.74768713204374
10,0.010315292796740868,99.64248159831756,0.003556326223797082,99.91589571068124
11,0.008721002035550702,99.71608832807571,0.0036869630960856426,99.87384356602186
12,0.007149602287451024,99.78969505783385,0.002598668805321791,99.91589571068124
13,0.005243103750867546,99.8527865404837,0.0024819862368725466,99.91589571068124
